Table7 S2 tidal Clment parameters (see table 5 for explanation),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Table 7. S2 TIDAL CURRENT PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Station,Record,Instr.,Above,,Fourier Coefficients,,,,,,,,,Current Ellipse Parameters,,,,,,,,
Lat.,Length,Depth,Bottom,,East,Error,Phase,Error,North,Error,Phase,Error,,Umajor,Error,Uminor,Error,Phase,Error,Orien,Error,
Long.,(Days),(m),(m),,(cm/s),(cm),(deg-g),(deg),(cm/s),(cm),(deg-g),(deg),,(cm/sec),(cm),(cm/sec),(cm),(deg-g),(deg),(deg-true),(deg),
,,,,,,,,,,,,,,,,,,,,,,
Scotian Shelf,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
40 21 N,174,405,100,,1.5,0.9,38,79,1,0.7,47,64,,1.8,1.1,-0.1,0.2,38,40,49,60,
67 39 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LCG,174,195,300,,1. 9,0. 8,93,90,2,1.2,12,53,,2.5,1.1,-1.1,0.8,17,68,22,45,
40 21 N,174,395,100,,0.6,0.3,98,69,0.7,0.4,31,76,,0.9,0.5,-0.3,0.1,33,85,27,50,
67 42 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LCH*,145,290,1264,,1. 3,0. 3,292,100,1.3,0.6,83,82,,1. 5,0. 4,-0.9,0.7,99,92,316,19,
40 18 N,145,540,1014,,0.7,0.3,82,103,1.2,0.4,76,102,,1. 3,0.4,-0.4,0.3,86,97,15,26,
67 40 W,145,890,664,,0.6,0.3,186,63,0.9,0.6,64,55,,1.1,0.7,-0.1,0.2,58,43,348,46,
,29,1454,100,,0.6,0,68,0,2.1,0,48,0,,2.1,0,-0.2,0,49,0,15,0,
,87,1375,5,,0.2,0.2,128,30,1.2,0.8,57,91,,1.2,0.7,-0.2,0.1,1,99,21,38,
,,,,,,,,,,,,,,,,,,,,,,
LCI,145,10,240,,2.2,0.9,174,103,2.7,1. 4,41,25,,3.3,0.9,-1,1.5,30,44,356,49,
40 23 N,145,55,195,,1.8,0.9,163,50,1.9,0.8,55,34,,2.2,0.8,-1.4,0.9,40,48,328,33,
67 33 W,145,195,55,,2.4,1.4,100,32,1.6,0.9,23,73,,2.4,1.4,-1.3,1.2,74,73,65,69,
,145,245,5,,1,0.7,200,100,1. 6,1.1,113,83,,1. 7,1,-0.8,0.7,178,99,350,57,
,,,,,,,,,,,,,,,,,,,,,,
LCJ,116,83,488,,1.7,0.5,152,61,2.1,0.9,38,34,,2.4,0.5,-1,1,30,64,328,34,
40 21 N,145,223,348,,1.1,0.6,62,79,1.1,0.3,316,63,,1.2,0.4,-0.6,0.8,328,46,20,60,
67 32 W,145,471,100,,0.7,0.3,239,105,0.6,0.3,286,70,,0.8,0.2,-0.2,0.5,289,59,340,66,
,,,,,,,,,,,,,,,,,,,,,,
LCK,145,204,350,,1,0.4,345,90,1.1,0.5,116,91,,1.5,0.3,-0.5,0.4,89,84,330,45,
40 16 N,145,454,100,,1.1,0.7,118,71,1.3,0.4,342,31,,1.6,0.6,-0.6,0.7,325,22,331,24,
67 47 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LCL,116,65,60,,3.8,0.7,162,24,4.6,1.2,55,12,,5.1,0.9,-3.1,0.7,56,48,352,58,
40 32 N,116,105,20,,3.9,0.9,131,13,4.1,1.1,29,12,,4.8,1,-3,0.6,19,51,343,52,
67 36 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LCM**,145,103,20,,3,1.8,141,74,3.5,1.2,35,27,,3.7,1.5,-2.5,1.9,31,44,361,31,
40 30 N,174,119,1,,1.5,1.1,103,74,2.1,0.4,29,37,,2.3,0.8,-1.1,1,20,46,356,30,
67 49 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LCN,145,243,798,,1.8,0.8,90,84,1.9,0.5,354,66,,2.3,0.7,-1.1,0.8,28,81,33,28,
40 21 N,145,841,200,,0.8,0.4,64,58,1.1,0.7,19,58,,1.4,0.8,-1.6,0.3,21,59,25,27,
67 40 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Nantucket Shoals,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NANTUCKET LS,738,2,53,,5.2,1.2,129,6,5.6,0.8,61,10,,6.4,1,-4.2,1.1,90,4,40,4,
40 37 N,,,,,,,,,,,,,,,,,,,,,,
69 37 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NSA,60,5,28,,2.7,0.5,169,10,16.3,2.1,102,7,,16.3,0,-2.5,0,103,0,4,0,
41 31 N,63,25,8,,0.3,0,172,8,9.4,0.4,44,2,,9.4,0,-0.2,0,44,0,359,0,
69 36 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NSB,42,10,12,,1.8,0.5,130,3,4.7,0.2,66,2,,4.8,0,-1.6,0,70,0,11,0,
41 26 N,,,,,,,,,,,,,,,,,,,,,,
69 44 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NSD,42,16,17,,4.1,0.6,144,9,2.6,0.2,82,4,,4.3,0,-2.2,0,132,0,68,0,
41 37 N,,,,,,,,,,,,,,,,,,,,,,
69 44 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POLLOCK RIP,369,2,12,,2.6,0,340,0,7.3,0,321,0,,7.7,0,-0.8,0,323,0,19,0,
41 37 N,,,,,,,,,,,,,,,,,,,,,,
69 54 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
GREAT ROUND,87,2,20,,11.9,0,39,0,5.6,0,359,0,,12.7,0,-3.3,0,33,0,69,0,
41 24 N,,,,,,,,,,,,,,,,,,,,,,
69 55 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NSC,42,8,8,,1.9,0.1,117,3,1. 0,0.1,280,6,,2.1,0,0.3,0,293,0,297,0,
41 37 N,,,,,,,,,,,,,,,,,,,,,,
69 59 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
I,29,18,23,,6.3,0,93,0,3.8,0,3,0,,6.1,0,-3.3,0,273,0,271,0,
40 43 N,,,,,,,,,,,,,,,,,,,,,,
70 01 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NSE,41,10,12,,5.8,1. 7,216,16,5.6,1. 3,164,13,,7.2,0,-3.5,0,191,0,47,0,
40 59 N,,,,,,,,,,,,,,,,,,,,,,
70 04 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Q,174,10,57,,2.9,1.1,97,16,2.3,0.9,11,20,,3,1.1,-2.2,0.9,88,21,79,20,
40 30 N,464,31,36,,2.7,0.5,102,10,2.1,0.4,13,16,,2.8,0.5,-2,0.4,92,19,77,18,
70 13 W,377,51,16,,2.9,0.5,95,7,2.2,0.7,9,13,,2.9,0.5,-2.1,0.6,95,26,89,27,
,145,57,10,,2.1,0.8,39,13,1.9,0.5,358,31,,2.4,0.5,-1.5,0.7,82,43,80,48,
,116,66,1,,1.8,0.2,64,18,2,0. 2,323,13,,1.8,0.2,-1.2,0.2,74,15,105,3,
,,,,,,,,,,,,,,,,,,,,,,
NSFE3,46,10,78,,2.2,0.3,155,10,1,0.2,61,13,,2.2,0,-1,0,336,0,272,0,
40 20 N,209,30,58,,1,0.1,135,3,0.3,0,23,3,,1,0,-0.3,0,317,0,277,0,
70 16 W,209,70,18,,0.5,0,197,3,0.7,0.1,180,5,,0.9,0,-0.1,0,366,0,215,0,
,,,,,,,,,,,,,,,,,,,,,,
NSFE4,170,10,95,,2.4,0.4,220,9,2.9,0.4,127,9,,2.9,0,-2.4,0,119,0,351,0,
40 13 N,224,30,75,,0.2,0,289,5,0.3,0.1,245,6,,0.8,0,-0.1,0,247,0,11,0,
70 18 W,170,60,45,,0.6,0.1,134,5,0.6,0.1,262,5,,0.8,0,0.4,0,290,0,313,0,
,224,90,15,,0.6,0.1,196,6,0.9,0.1,164,7,,1,0,-0.3,0,173,0,32,0,
,,,,,,,,,,,,,,,,,,,,,,
NSFE5*,171,10,188,,1.1,0.5,141,26,1,0.5,331,26,,1.5,0,-0.1,0,326,0,312,0,
40 02 N,171,30,168,,0.7,0,132,0,0.8,0,318,0,,1.1,0,-0.1,0,315,0,318,0,
70 22 W,171,90,108,,0.5,0.2,138,19,0.7,0.3,100,24,,0.9,0,-0.3,0,113,0,35,0,
,171,120,78,,0.6,0.1,203,12,1.1,0.3,130,15,,1.1,0,-0.6,0,138,0,15,0,
,171,185,13,,0.6,0.2,289,17,1.4,0.4,225,17,,1.4,0,-0.5,0,229,0,12,0,
,,,,,,,,,,,,,,,,,,,,,,
NSFE6,225,10,800,,1.1,0.6,118,33,0.8,0.4,351,26,,1.2,0,-0.6,0,313,0,301,0,
39 51 N,,,,,,,,,,,,,,,,,,,,,,
70 25 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
New England Shelf,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
P,87,61,10,,1. 7,0. 5,85,14,1.3,0.5,338,13,,1. 9,0. 5,-1.2,0.6,260,43,271,38,
40 29 N,58,70,1,,0.8,0.8,354,70,1.1,0.3,272,58,,1.1,0.3,-0.8,0.8,230,5,319,66,
70 30 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NES743,35,20,85,,1,0.1,72,8,1. 4,0. 2,344,10,,1.4,0,-1,0,346,0,3,0,
40 18 N,35,60,45,,0.1,0,64,7,0.4,0.1,342,9,,0.4,0,-0.1,0,343,0,2,0,
70 52 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NES764,180,305,1995,,0.6,0.2,186,20,0.5,0.5,93,54,,0.6,0,-0.5,0,13,0,278,0,
39 37 N,180,2005,295,,0.3,0.1,343,19,0.5,0.4,248,49,,0.5,0,-0.3,0,245,0,355,0,
70 56 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NE5742,35,20,54,,0.9,0,96,4,0.4,0,275,5,,1,0,0,0,276,0,294,0,
40 35 N,35,60,14,,1.2,0.1,91,6,0.5,0,333,6,,1.2,0,-0.4,0,276,0,283,0,
70 59 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
HENS&CHICK,369,2,16,,4.9,0,329,0,2.3,0,281,0,,5.1,0,-1.6,0,323,0,71,0,
41 27 N,,,,,,,,,,,,,,,,,,,,,,
71 0 1W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NES763,181,145,351,,0.1,0.1,301,42,0.8,0.7,266,50,,0.8,0,-0.1,0,266,0,6,0,
39 56 N,,,,,,,,,,,,,,,,,,,,,,
71 03 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NES762,119,38,45,,1.1,0.1,74,4,1. 6,0. 1,304,5,,1.8,0,-0.8,0,291,0,330,0,
40 28 N,93,78,10,,0.8,0.1,69,8,1,0.2,282,10,,1.2,0,-0.4,0,270,0,323,0,
71 12 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NES741,35,28,30,,1.2,0.1,123,3,0.8,0,53,4,,1.2,0,-0.7,0,111,0,70,0,
40 56 N,,,,,,,,,,,,,,,,,,,,,,
71 13 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BRENTON REEF,369,2,24,,0.4,0,75,0,5.4,0,308,0,,5.4,0,-0.4,0,308,0,357,0,
41 26 N,,,,,,,,,,,,,,,,,,,,,,
71 23 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Middle Atlantic Bight,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NES763W,183,302,202,,0.6,0.2,302,19,0.8,0.3,216,24,,0.8,0,-0.6,0,221,0,7,0,
39 43 N,,,,,,,,,,,,,,,,,,,,,,
71 47 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NES762W,172,38,45,,1.4,0.1,61,4,1. 9,0. 2,304,5,,2.1,0,-1.1,0,288,0,332,0,
39 55 N,,,,,,,,,,,,,,,,,,,,,,
71 58 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LT5,87,21-U,46,,2.3,1.1,74,5,2,0.9,325,13,,2.5,1.3,-1.6,0.6,276,5,301,9,
40 12 N,70,21-R,46,,2.8,0.3,74,6,1.9,0.3,4,8,,2.9,0,-1.7,0,242,0,250,0,
72 00 W,116,41-H,26,,1.9,1.1,77,29,1.8,1.2,319,12,,2.2,1.2,-1.5,1.2,288,27,315,16,
,70,41-R,26,,1. 4,0.1,122,6,1,0.1,53,8,,1.5,0,-0.9,0,288,0,247,0,
,87,61-H,6,,1.7,0.4,52,8,1. 5,0. 2,283,17,,2.1,0.1,-0.9,0.2,252,2,309,18,
,70,61-R,6,,0.3,0,68,5,1.1,0.2,228,8,,1.1,0,0.1,0,229,0,346,0,
,87,66-H,1,,1,0.5,39,16,0.8,0.2,274,8,,1. 2,0.5,-0.6,0.2,243,5,311,12,
,70,66-R,1,,0.6,0.1,59,6,0.7,0.1,254,10,,0.9,0,-0.1,0,248,0,320,0,
,,,,,,,,,,,,,,,,,,,,,,
LT4,29,3,49,,2,0.9,33,59,1,0,271,75,,2.1,0.8,-0.8,0.2,222,50,292,13,
40 34 N,203,24,28,,3.5,1.2,60,34,2.2,1,315,34,,3.7,1.2,-1.8,1.1,247,34,283,21,
72 19 W,174,44,8,,2.5,0.5,72,24,1.5,0.5,320,19,,2.6,0.5,-1.3,0.4,260,23,287,8,
,87,51,1,,1.5,0.6,80,2,0.3,0.8,313,39,,1.5,0.6,-0.7,0.9,265,4,231,1,
,,,,,,,,,,,,,,,,,,,,,,
CMICE,25,4,25,,1.2,0.1,76,8,0.7,0.4,312,31,,1.3,0,-0.5,0,266,0,292,0,
40 47 N,25,8,21,,1.3,0.1,94,6,0.6,0.3,319,29,,1.4,0,-0.4,0,280,0,290,0,
72 49 W,25,16,13,,1.1,0.1,85,5,0.7,0.4,315,14,,1.2,0,-0.5,0,277,0,297,0,
,25,25,4,,0.4,0,100,0,0.3,0.2,44,27,,0.4,0,-0.2,0,263,0,239,0,
,,,,,,,,,,,,,,,,,,,,,,
ME,29,59,1,,1.1,0,56,0,1.5,0,286,0,,1.7,0,-0.7,0,271,0,328,0,
39 57 N,,,,,,,,,,,,,,,,,,,,,,
72 16 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NJ4,72,3,89,,2.2,0.6,71,14,3,0.8,315,16,,3.2,0,-1.8,0,299,0,333,0,
38 55 N,72,43,49,,1.3,0.2,166,7,2.9,0.5,22,11,,3.1,0,-0.7,0,17,0,339,0,
72 58 W,72,91,1,,0.8,0.3,30,24,0.3,0.2,259,33,,0.8,0,-0.2,0,214,0,285,0,
,,,,,,,,,,,,,,,,,,,,,,
MA,58,58,1,,5,0. 3,56,50,1.7,0.8,286,17,,2,0.5,-1,0.8,270,18,324,17,
39 27 N,,,,,,,,,,,,,,,,,,,,,,
73 00 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LT1,104,9,61,,1.8,0.1,123,5,1. 4,0.1,331,6,,2.2,0,-0.5,0,313,0,307,0,
39 16 N,104,19,51,,1.7,0.2,124,6,1.6,0.2,337,6,,2.2,0,-0.7,0,319,0,313,0,
73 02 W,70,58,12,,4.2,0.4,69,6,3.5,0.4,310,7,,4.8,0,-2.7,0,271,0,305,0,
,,,,,,,,,,,,,,,,,,,,,,
MESA7,107,18,50a,,2.7,0.3,135,6,2.2,0.3,310,8,,3.5,0,0.1,0,313,0,309,0,
39 55 N,103,38,30a,,1.6,0.2,111,5,2.1,0.3,348,8,,2.4,0,-1.2,0,331,0,328,0,
73 06 W,63,66,2a,,0.2,0,157,12,0.9,0.1,275,8,,0.9,0,0.2,0,276,0,354,0,
,,,,,,,,,,,,,,,,,,,,,,
FIRE IS.,369,2,27,,1.4,0,114,0,0.6,0,349,0,,1.4,0,-0.5,0,299,0,286,0,
40 29 N,,,,,,,,,,,,,,,,,,,,,,
73 11 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MF,116,15,219,,2.1,0.5,146,89,1.4,0.9,353,54,,2.4,0.3,-0.8,0.8,318,61,345,70,
38 31 N,116,232,2,,0.6,0.1,11,52,0.7,0.4,167,66,,0.9,0.3,0.1,0.4,180,42,322,31,
73 14 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MC,29,79,1,,1.1,0,51,0,1.1,0,263,0,,1.4,0,-0.4,0,247,0,315,0,
38 33 N,,,,,,,,,,,,,,,,,,,,,,
73 31 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MB,406,15,45,,2.8,0.6,99,23,2.7,0.6,341,23,,3.4,0.6,-1.9,0.5,309,20,313,13,
38 44 N,58,45,15,,2.9,1,87,9,2.7,0.6,333,20,,3.3,0.8,-2.2,0.9,295,3,310,12,
73 38 W,522,50,10,,2.2,0.6,82,14,2.3,0.8,320,15,,2.8,0.7,-1.5,0.6,292,10,317,12,
,58,54,6,,2.8,0.8,83,2,2.4,0.5,324,9,,3.2,0.7,-1.8,0.7,2135,5,306,9,
,87,59,1,,1.2,0.3,74,29,1. 5,0. 5,305,9,,1.8,0.5,-0.7,0.3,288,20,325,13,
,,,,,,,,,,,,,,,,,,,,,,
LT2,116-c,3,31,,2.7,0.6,91,12,3,0.9,330,10,,3.5,0.9,-2,0.6,303,13,319,6,
39 24 N,232,15,19,,3.3,0.7,89,15,2.9,0.6,336,26,,3.9,0.5,-2.2,0.4,293,23,306,25,
73 43 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
BARNEGAT,369,2,22,,0.4,0,98,0,0.7,0,322,0,,0.7,0,-0.2,0,313,0,335,0,
39 46 N,,,,,,,,,,,,,,,,,,,,,,
73 56 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MD,116,40,1,,1.2,0.3,73,25,1.4,0.3,312,31,,1.6,0.3,-0.9,0.3,289,23,323,6,
38 59 N,,,,,,,,,,,,,,,,,,,,,,
74 02 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
L.EGG INLET,264,5,7,,1.3,0,126,0,1.2,0,360,0,,1.6,0,-0.8,0,331,0,312,0,
39 28 N,365,10,2,,0.8,0,113,0,0.7,0,327,0,,1,0,-0.3,0,308,0,310,0,
74 15 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
NE END LoS.,369,2,2.4,,1.7,0,130,0,1,0,331,0,,2,0,-0.3,0,315,0,298,0,
38 58 N,,,,,,,,,,,,,,,,,,,,,,
74 30 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Southtern Middle Atlantic Bight,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
WINTER QU,369,2,22,,0.3,0,139,0,0.3,0,3,0,,0.4,0,-0.2,0,336,0,308,0,
37 55 N,,,,,,,,,,,,,,,,,,,,,,
71 56 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
MAR,53,9,29,,2.4,0.2,126,5,1. 2,0. 2,340,11,,2.6,0,-0.6,0,312,0,294,0,
36 50 N,52,21,17,,1.7,0.2,179,7,1.9,0.2,71,6,,2.1,0,-1.5,0,44,0,325,0,
75 02 W,53,32,6,,1.4,0.4,158,7,3.8,0.7,354,11,,5.1,0,-0.7,0,347,0,318,0,
,,,,,,,,,,,,,,,,,,,,,,
DIAMOND,738,2,51,,0.3,0.1,16,8,0.8,0,318,88,,0.8,0.1,-0.1,0.1,318,89,2,13,
35 05 N,,,,,,,,,,,,,,,,,,,,,,
75 20 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CHESAPEAKE,369,2,17,,1.8,0,201,0,0.1,0,63,0,,1.9,0,-0.2,0,22,0,277,0,
36 59 N,,,,,,,,,,,,,,,,,,,,,,
75 42 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Oceanic,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
S8,415,70,2470,,1,0.6,171, 2R,1,0.4,33,18,,1.4,0.6,-0.6,0.4,12,30,317,11,
42 00 N,415,1500,1040,,0.3,0.1,125,13,0.1,0.1,22,17,,0.3,0.3,-0.1,0,17,82,345,86,
63 30 W,96,2510,10,,0,0,282,0,0.2,0,302,0,,0.2,0,0,0,302,0,360,0,
,,,,,,,,,,,,,,,,,,,,,,
NES765,180,1995,655,,0.5,0.2,109,19,0.4,0.2,1,24,,0.5,0,-0.4,0,308,0,297,0,
39 17 N,,,,,,,,,,,,,,,,,,,,,,
70 50 W,,,,,,,,,,,,,,,,,,,,,,
