Table7 S2 tidal Clment parameters (see table 5 for explanation),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Table 7. S2 TIDAL CURRENT PARAMETERS,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Station,Record,Instr.,Above,,Fourier Coefficients,,,,,,,,,Current Ellipse Parameters,,,,,,,,
Lat.,Length,Depth,Bottom,,East,Error,Phase,Error,North,Error,Phase,Error,,Umajor,Error,Uminor,Error,Phase,Error,Orien,Error,
Long.,(Days),(m),(m),,(cm/s),(cm),(deg-g),(deg),(cm/s),(cm),(deg-g),(deg),,(cm/sec),(cm),(cm/sec),(cm),(deg-g),(deg),(deg-true),(deg),
,,,,,,,,,,,,,,,,,,,,,,
Scotian Shelf,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
42 49 N,752,56,190,,1.7,0.8,77,8,2.3,1. 1,341,8,,2.3,1.1,-17,0.8,338,14,355,10,
63 30 w,180,100,140,,0.6,0,207,0,0.7,0,20,0,,0.9,0,0.1,,23,0,323,0,
,632,150,90,,0.3,0.3,126,2,1.1,0.4,347,43,,1.2,0.3,-0.5,0.6,338,34,330,10,
,572,230,10,,1,0.6,82,9,1.9,0.4,335,27,,1.9,0.3,-1,0.7,331,27,351,4,
,,,,,,,,,,,,,,,,,,,,,,
S6,250,20,150,,1.4,0,46,0,2.1,0,316,0,,2.1,0,-1.4,0,317,0,1,0,
43 00 N,492,50,120,,2,0.3,64,15,2.8,0.5,336,9,,2.8,0.5,-2,0.3,339,2,4,3,
63 30 W,182,100,70,,1.3,0,115,0,2.2,0,5,0,,2.3,0,-1.2,0,357,0,344,0,
,380,151,17,,0.5,1,70,23,1. 5,0.2,336,27,,1.6,0.2,-0.5,0.1,336,27,359,2,
,,,,,,,,,,,,,,,,,,,,,,
SS13,43,14,84,,0.7,0,147,0,0.9,0,285,0,,1.1,0,0.4,0,300,0,324,0,
44 17 N,52,89,9,,0.6,0,151,0,0.6,0,355,0,,0.8,0,-0.2,0,343,0,315,0,
63 46 W,43,95,3,,0.4,0,78,0,0.5,0,199,0,,0.6,0,0.3,0,219,0,327,0,
,,,,,,,,,,,,,,,,,,,,,,
SS12,69,14,46,,2,0.4,105,4,1.6,1.5,322,30,,2.5,1,-0.9,1,303,27,306,24,
44 25 N,70,20,40,,1.1,0,148,0,0.4,0,311,0,,1.2,0,0.1,0,326,0,289,0,
63 57 W,43,54,6,,0.3,0,233,0,0.6,0,181,0,,0.6,0,-0.2,0,188,0,20,0,
,,,,,,,,,,,,,,,,,,,,,,
S2,84,30,210,,2.3,0,45,0,2.8,0,296,0,,3,0,-2,0,276,0,331,0,
42 46 N,334,50,190,,1.9,0.6,135,52,3.2,0.6,21,67,,3.3,0.6,-1.7,0.7,10,57,340,7,
64 00 W,247,220,20,,0.7,0.8,93,115,2.5,0.9,317,66,,2.6,0.9,-0.6,0.9,316,67,356,2,
,,,,,,,,,,,,,,,,,,,,,,
S7,338,230,480,,1.9,0,156,0,1.4,0,351,0,,23,0,-0.3,0,341,0,386,0,
42 42 N,311,690,20,,0.3,0.2,287,76,1.1,0.3,202,38,,1.1,0.3,-0.3,0.2,201,34,358,11,
64 02 W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
C5,170,15,45,,0.5,0.4,273,41,2.6,1.4,210,32,,2.6,0,-0.4,0,211,0,5,0,
43 34 N,174,30,30,,1.8,0,113,0,1.9,0,167,0,,2.3,0,1.2,0,142,0,43,0,
65 06 W,173,50,10,,1,0,127,0,1.1,0,289,0,,1.4,0,0.2,0,117,0,137,0,
,,,,,,,,,,,,,,,,,,,,,,
C1,162,15,45,,12.3,0.3,254,2,3.9,0.7,132,10,,12.5,0,-3.2,0,77,0,280,0,
43 11 N,162,30,30,,9.5,0.3,230,2,2.5,0.4,60,10,,9.8,0,-0.4,0,51,0,285,0,
65 43 N,174,50,10,,5.8,1.5,245,14,1. 7,0.3,28,11,,6,0,1,0,63,0,284,0,
,,,,,,,,,,,,,,,,,,,,,,
C3,161,15,95,,6.8,0.2,265,2,3.5,0.4,79,7,,7.7,0,0.3,0,84,0,297,0,
42 50 N,103,50,60,,8.2,0.2,245,2,4.2,0.2,91,3,,9.1,0,-1.6,0,70,0,295,0,
