Table 5. M2 tidal current parameters.,,,,,,,,,,,,,,,,,,,,,,,,,,
,Record ,Instr,Above,Fourier Coefficients,,,,,,,,Current Ellipse Parameters,,,,,,,,,,,,,,
Station,Length,Depth,Bottom,East,Error,PHASE,Error,North,Error,PHASE,Error,Umajor,Error,Uminor,Error,PHASE,Error,Orien,Error,Lat. (N),,Long.(W),,,,
,(Days),(M),(M),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(CM/SEC),(CM/SEC),(CM/SEC),(CM/SEC),(DEG G),(DEG G),(DEG TRUE),(DEG TRUE),DEG,MIN,DEG,MIN,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,371,230,480,4.1,0,74,0,5.5,0,308,0,6.3,0,3.1,0,289.0,0.0,326,0,42,45,63,30,,,
S3,97,500,210.0,3.4,0,170.0,0.0,2.6,0,149.0,0.0,4.2,0,0.8,0.0,162,0.0,53.0,0.0,42,45,63,30,,,
S3,262,690,20.0,2.1,0,155.0,0.0,1.6,0,160.0,0.0,2.6,0,0.1,0.0,157,0.0,53.0,0.0,42,45,63,30,,,
S1,266,20,220,7.5,3.2,3,38.0,12,1.9,273,26.0,12.1,1.9,7.3,3.2,272,19.0,358,12.0,42,49,63,30,,,
S1,752,50,190.0,6.9,1.8,26,20.0,9.6,1.0,293,9.0,9.7,0.9,6.7,2.0,294,5.0,360,12,42,49,63,30,,,
S1,180,100,140.0,6.4,0,117.0,0.0,9.1,0,1.0,0.0,9.8,0,5.4,0.0,347,0.0,335.0,0.0,42,49,63,30,,,
S1,632,150,90,4.9,1.5,72,31.0,6.7,2.0,315,23.0,7.2,2.1,4.1,1.4,299,23.0,332,2.0,42,49,63,30,,,
S1,572,230,10,3.4,0.6,61.0,15,6.1,0.3,302.0,28,6.4,0.2,2.3,0.9,293.0,27,342.0,3,42,49,63,30,,,
S6,250,20,150,10.9,0,28.0,0.0,17.9,0.0,283.0,0.0,18.2,0.0,10.3,0.0,275,0.0,347.0,0.0,43,0,63,30,,,
S6,492,50,120.0,5.9,0.5,60,16.0,9.6,0.6,314,12.0,9.9,0.5,5.6,0.2,305,7.0,345,7.0,43,0,63,30,,,
S6,182,100,70.0,6.4,0,74.0,0.0,10.9,0.0,321.0,0.0,11.3,0.0,5.7,0.0,312,0.0,342.0,0.0,43,0,63,30,,,
S6,380,153,17,5.1,1.5,17.0,14.0,9.7,1.6,299,32,10.1,1.4,4.1,2,298.0,42.0,362,25,43,0,63,30,,,
SS13,43,14,84,4.1,0,91.0,0.0,3.2,0.0,279.0,0.0,5.2,0.0,0.4,0.0,274,0.0,308.0,0.0,44,1,63,46,,,
SS13,13,16,82.0,4.2,0,91.0,0.0,1.9,0.0,257.0,0.0,4.6,0.0,0.4,0.0,269,0.0,294.0,0.0,44,1,63,46,,,
SS13,52,89,9.0,2,0,117.0,0.0,2.8,0.0,214.0,0.0,2.8,0.0,2.0,0.0,221,0.0,350.0,0.0,44,1,63,46,,,
SS13,43,95,3,2.1,0,158,0.0,3.6,0.0,198,0.0,4.0,0.0,1.2,0.0,189.0,0.0,27,0.0,44,1,63,46,,,
SS12,69,14,46,5.4,0.1,102,6.0,5. 5 , 0. 7,294,9.0,7.6,0.5,0.8,1,288.0,3,316.0,3.0,44,25,63,5,,,
SS12,70,20,40,6.8,0,216.0,0.0,3,0.0,273.0,0.0,7,0.0,2.4,0.0,222,0.0,75.0,0.0,44,25,63,5,,,
SS12,43,54,6.0,3.3,0,91.0,0.0,1.7,0.0,219.0,0.0,3.5,0.0,1.3,0.0,263,0.0,290.0,0.0,44,25,63,5,,,
S2,84,30,210,10.8,0,39.0,0.0,11.9,0.0,283.0,0.0,13.6,0.0,8.5,0.0,257,0.0,321.0,0.0,42,46,64,0,,,
S2,334,50,190.0,10.5,0.1,109,53.0,12.9,1.0,355,57.0,14.1,1.1,8.8,0.1,33.4,53.0,329,2.0,42,46,64,0,,,
S2,247,220,20.0,1.3,0.8,11,55.0,12.5,1.2,270,58.0,12.6,1.2,1.7,0.8,270,58.0,359,1.0,42,46,64,0,,,
S7,338,230,489,5.6,0,102.0,0.0,5.1,0.0,315.0,0.0,7.3,0.0,2.2,0.0,296,0.0,312.0,0.0,42,42,64,2,,,
S7,311,690,20.0,1.2,0.6,307,58.0,6.3,1.5,197,16.0,6.3,1.5,1,0.8,197,15.0,358,6,42,42,64,2,,,
C5,170,15,45,4.6,3.3,90,41.0,7.2,4.0,293,32.0,8.4,0.0,1.6,0.0,286,0.0,328.0,0.0,43,34,65,6,,,
C5,174,30,30.0,13.6,0.0,333.0,0.0,5,0.0,142.0,0.0,14.5,0.0,0.8,0.0,152,0.0,290.0,0.0,43,34,65,6,,,
C5,173,50,10.0,10.1,0.0,198.0,0.0,6.3,0.0,293.0,0.0,10.2,0.0,6.3,0.0,14,0.0,276.0,0.0,43,34,65,6,,,
C1,162,15,45,55.1,2.3,158,2.0,21.2,3.7,12,10.0,87,0.0,11.4,0.0,340,0.0,282.0,0.0,43,11,65,43,,,
C1,162,30,30.0,75.1,2.0,141,2.0,22.8,4.0,333,10.0,78.4,0.0,4.6,0.0,322,0.0,287.0,0.0,43,11,65,43,,,
C1,174,50,10.0,41.6,10.4,150,14.0,16.6,3.2,308,11.0,44.4,0.0,5.9,0.0,327,0.0,291.0,0.0,43,11,65,43,,,
C3,161,15,95,45.6,1.6,174,2.0,29.5,3.6,16.0,7,53.6,0.0,9.2,0.0,360.0,0.0,302,0.0,42,50,65,50,,,
C3,103,50,60.0,53.5,1.4,162,2.0,35.2,1.8,11,3.0,62.3,0.0,14.8,0.0,350,0.0,302.0,0.0,42,50,65,50,,,
C3,161,100,10.0,35.6,1.8,162,3.0,27.7,2.5,359,5.0,44.6,0.0,6.5,0.0,349,0.0,308.0,0.0,42,50,65,50,,,
NEC1,174,103,120,42.3,4.1,162,5.0,33.3,1.5,18,5.0,51.4,3.0,16.1,1.1,355,3.0,307,4.0,42,22,65,56,,,
NEC1,174,153,70.0,45.1,2.6,157,3.0,41.6,3.1,18,4.0,57.5,3.2,21.4,2.7,355,2.0,312,2,42,22,65,56,,,
NEC1,174,207,16.0,27.6,3.2,141,4.0,40.6,1.9,350,6.0,47.8,0.8,-11.4,1.8,341,3.0,327,4,42,22,65,56,,,
NEC2*,58,106,134,38.3,1.0,166,2.0,32,0.6,14,1.0,48.6,0.1,-11.6,1.4,357,1.0,309,2.0,42,18,65,58,,,
NEC2*,174,156,84.0,45.3,3.5,153,2.0,41.7,2.9,19,4.0,56.6,3.1,24.3,3.5,354,2.0,312,3,42,18,65,58,,,
NEC2*,58,217,17.0,31.9,9.3,147,7.0,30.6,8.2,9,2.0,41.4,12.2,15.6,2.7,347,4.0,314,1,42,18,65,58,,,
NEC3*,87,112,116,46.7,2.8,170,1.0,37.7,2.4,21,6.0,57.9,2.8,15.5,3.9,2,3.0,308,0.0,42,11,66,2,,,
NEC3*,87,162,66.0,43.6,3.3,154,4.0,50.6,1.2,22,3.0,61.1,2.7,26.9,1.6,3,1.0,321,2,42,11,66,2,,,
NEC3*,174,220,16.0,27.4,3.2,142,7.0,43.5,3.9,357,3.0,49.5,2.8,13.9,3.3,348,2.0,330,5,42,11,66,2,,,
CASHES LEDGE,58,33,157,,8.2,233,,11.9,,10,,13.6,0.0,4.9,0.0,22.0,0.0,329,0.0,43,11,69,5,,,
CASHES LEDGE,58,68,122.0,5.7,0.7,240,7.0,7.1,1.2,16,10.0,8.5,0.0,3.3,0.0,32,0.0,324.0,0.0,43,11,69,5,,,
CASHES LEDGE,55,118,72.0,5.8,0.7,218,7.0,8.6,0.7,346,5.0,9.5,0.0,4.1,0.0,359,0.0,332.0,0.0,43,11,69,5,,,
MONHEGAN,57,33,65,4.2,,287.0,,7.5,,356.0,,7.7,0.0,3.8,0.0,348,0.0,15.0,0.0,43,40,69,23,,,
MONHEGAN,58,68,30.0,3.4,1.3,338,22.0,4,1.6,32,24.0,4.7,0.0,2.3,0.0,11,0.0,37.0,0.0,43,40,69,23,,,
C.PORPOI5E,74,33,65,2.7,0.5,228,11.0,5.7,0.7,334,7.0,5.8,0.0,2.6,0.0,338,0.0,351.0,0.0,43,13,70,17,,,
C.PORPOI5E,74,68,30.0,1.1,0.3,240,18.0,3,0.5,337,9.0,3,0.0,1.1,0.0,338,0.0,357.0,0.0,43,13,70,17,,,
BOSTON L.S.,369,2,31,4.1,0.0,200,0.0,0.6,0.0,163,0.0,4.1,0.0,0.4,0.0,200.0,0.0,83,0.0,42,20,70,45,,,
BED65,29c,25,37a,82,0.0,20.0,0.0,64.3,0.0,22.0,0.0,104.2,0.0,1.3,0.0,21,0.0,52.0,0.0,45,8,65,8,,,
BED66,29c,25,13a,62.8,0.0,17.0,0.0,36.4,0.0,22.0,0.0,72.5,0.0,2.7,0.0,18,0.0,60.0,0.0,45,25,65,0,,,
BED64,29c,10,40a,101.2,0.0,16,0.0,61.3,0.0,27,0.0,117.9,0.0,9.9,0.0,19.0,0.0,59.0,0.0,45,13,65,14,,,
BED64,29c,25,25a,85.5,0.0,25.0,0.0,51.4,0.0,25.0,0.0,99.8,0.0,0.4,0.0,25,0.0,59.0,0.0,45,13,65,14,,,
BED63,29c,25,25a,78.1,0.0,20.0,0.0,43.3,0.0,20.0,0.0,89.3,0.0,0.3,0.0,20,0.0,61.0,0.0,45,19,65,20,,,
BED62,29c,13,77b,101.2,0.0,14,0.0,42.7,0.0,33,0.0,109.1,0.0,12.6,0.0,17.0,0.0,68,0.0,44,39,66,2,,,
BED61,29c,13,94b,77,0.0,18.0,0.0,26.1,0.0,35.0,0.0,81,0.0,7.2,0.0,20,0.0,72.0,0.0,44,49,66,12,,,
